user_id,last_order_date,recency,frequency,monetary,last_login,days_since_login,session_count,churn_flag,segment,churn_risk_score,recommended_action,revenue_at_risk,priority_level,final_priority_score
62,NULL,NULL,0,0.00,2026-03-26,29,27,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
63,NULL,NULL,0,0.00,2026-03-02,53,62,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
64,2026-04-21,3,1,3944.35,2026-03-30,25,29,1,"High Value At Risk",9.2,"Send Push Notification",3944.35,HIGH,1189.74
65,NULL,NULL,0,0.00,2026-04-15,9,93,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
66,2026-04-09,15,2,5277.68,2026-04-16,8,94,0,"High Value Active",11.2,"Send Push Notification",0.00,NORMAL,1591.14
67,2026-02-05,78,1,4286.25,2026-04-08,16,53,1,"High Value At Risk",51.5,"Send Push Notification",4286.25,HIGH,1321.93
68,NULL,NULL,0,0.00,2026-03-06,49,54,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
69,2026-03-25,30,2,7095.98,2026-04-11,13,51,0,"High Value Active",21.7,"Send Push Notification",0.00,NORMAL,2143.98
70,NULL,NULL,0,0.00,2026-03-03,52,82,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
71,NULL,NULL,0,0.00,2026-03-28,27,85,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
72,NULL,NULL,0,0.00,2026-03-03,52,81,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
73,NULL,NULL,0,0.00,2026-03-31,24,66,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
74,NULL,NULL,0,0.00,2026-04-23,1,20,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
75,2026-04-17,7,2,5746.67,2026-03-03,52,80,1,"High Value At Risk",19.6,"Send Push Notification",5746.67,HIGH,1737.72
76,NULL,NULL,0,0.00,2026-04-02,22,44,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
77,NULL,NULL,0,0.00,2026-04-19,5,13,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
78,2026-03-30,25,2,4170.72,2026-04-02,22,46,1,"High Value At Risk",21.4,"Send Push Notification",4170.72,HIGH,1266.2
79,NULL,NULL,0,0.00,2026-04-14,10,54,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
80,NULL,NULL,0,0.00,2026-04-17,7,3,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
81,NULL,NULL,0,0.00,2026-03-10,45,72,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
82,2026-03-25,30,3,4311.84,2026-04-06,18,39,0,"High Value Active",23.1,Monitor,0.00,NORMAL,1309.72
83,NULL,NULL,0,0.00,2026-02-24,59,78,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
84,2026-04-15,9,1,4331.24,2026-02-27,56,36,1,"High Value At Risk",22.1,"Send Push Notification",4331.24,HIGH,1314.84
85,NULL,NULL,0,0.00,2026-02-26,57,73,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
86,NULL,NULL,0,0.00,2026-03-11,44,54,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
87,NULL,NULL,0,0.00,2026-03-28,27,71,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
88,2025-11-30,145,1,3144.97,2026-04-16,8,57,1,"High Value At Risk",89.3,"Send Push Notification",3144.97,HIGH,1006
89,NULL,NULL,0,0.00,2026-03-30,25,43,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
90,2026-04-09,15,1,4998.75,2026-03-04,51,2,1,"High Value At Risk",24.2,"Send Push Notification",4998.75,HIGH,1516.56
91,NULL,NULL,0,0.00,2026-03-26,29,41,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
92,NULL,NULL,0,0.00,2026-03-22,33,61,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
93,2026-04-06,18,1,298.34,2026-04-04,20,92,0,"Regular Users",16.7,"Send Push Notification",0.00,NORMAL,101.192
94,2026-02-24,59,1,1049.43,2026-03-23,32,98,1,"Low Engagement",44.9,"Send Push Notification",0.00,LOW,346.259
95,2026-04-03,21,1,746.98,2026-04-10,14,27,0,"Low Engagement",16.7,"Send Push Notification",0.00,LOW,235.784
96,NULL,NULL,0,0.00,2026-03-20,35,19,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
97,NULL,NULL,0,0.00,2026-04-16,8,14,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
98,NULL,NULL,0,0.00,2026-04-08,16,98,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
99,2026-04-01,23,1,960.72,2026-04-22,2,28,0,"Low Engagement",14.3,"Send Push Notification",0.00,LOW,298.226
100,2026-02-15,68,1,2122.41,2026-04-10,14,37,1,"Low Engagement",44.9,"Send Push Notification",0.00,LOW,668.153
101,2026-01-27,87,1,4775.70,2026-04-17,7,51,1,"High Value At Risk",54.2,"Send Push Notification",4775.70,HIGH,1470.65
102,NULL,NULL,0,0.00,2026-04-14,10,36,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
103,2026-01-17,97,1,1114.52,2026-04-10,14,17,1,"Low Engagement",62.3,"Send Push Notification",0.00,LOW,377.966
104,NULL,NULL,0,0.00,2026-04-20,4,88,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
105,NULL,NULL,0,0.00,2026-04-15,9,15,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
106,2026-02-23,60,1,808.18,2026-04-09,15,86,1,"Low Engagement",40.4,"Send Push Notification",0.00,LOW,270.734
107,NULL,NULL,0,0.00,2026-03-25,30,1,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
108,NULL,NULL,0,0.00,2026-03-28,27,29,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
109,2026-01-12,102,1,1625.38,2026-04-20,4,49,1,"Low Engagement",62.3,"Send Push Notification",0.00,LOW,531.224
110,2026-02-27,56,1,167.70,2026-04-13,11,54,1,"Low Engagement",36.8,"Send Push Notification",0.00,LOW,76.07
111,NULL,NULL,0,0.00,2026-04-19,5,85,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
112,NULL,NULL,0,0.00,2026-02-26,57,28,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
113,NULL,NULL,0,0.00,2026-03-27,28,58,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
114,NULL,NULL,0,0.00,2026-03-28,27,52,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
115,2026-02-10,73,1,2499.08,2026-04-10,14,65,1,"Low Engagement",47.9,"Send Push Notification",0.00,LOW,783.254
116,2026-02-26,57,2,382.43,2026-03-25,30,61,1,"Churned Users",43,"Send Push Notification",382.43,MEDIUM,144.829
117,NULL,NULL,0,0.00,2026-03-26,29,62,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
118,2026-02-22,61,1,742.86,2026-03-18,37,30,1,"Low Engagement",47.6,"Send Push Notification",0.00,LOW,256.178
119,NULL,NULL,0,0.00,2026-03-21,34,1,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
120,NULL,NULL,0,0.00,2026-04-07,17,46,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
121,2026-02-06,77,1,2914.01,2026-04-02,22,52,1,"Low Engagement",52.7,"Send Push Notification",0.00,LOW,911.093
122,2026-03-07,48,1,3846.94,2026-03-28,27,77,1,"High Value At Risk",36.8,"Send Push Notification",3846.94,HIGH,1179.84
123,2026-01-17,97,1,606.95,2026-03-29,26,95,1,"Low Engagement",65.9,"Send Push Notification",0.00,LOW,228.215
124,2025-12-25,120,1,3702.01,2026-04-03,21,97,1,"High Value At Risk",78.2,"Send Push Notification",3702.01,HIGH,1165.34
125,2026-02-03,80,2,8235.31,2026-03-10,45,91,1,"High Value At Risk",61.3,"Send Push Notification",8235.31,HIGH,2513.5
126,2026-03-20,35,1,1301.14,2026-04-11,13,43,1,"Low Engagement",24.8,"Send Push Notification",0.00,LOW,407.702
127,2026-03-23,32,2,5365.22,2026-03-27,28,6,1,"High Value At Risk",27.4,"Send Push Notification",5365.22,HIGH,1628.75
128,NULL,NULL,0,0.00,2026-03-04,51,15,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
129,NULL,NULL,0,0.00,2026-04-16,8,26,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
130,NULL,NULL,0,0.00,2026-03-04,51,57,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
131,2026-01-22,92,1,4684.69,2026-04-12,12,37,1,"High Value At Risk",58.7,"Send Push Notification",4684.69,HIGH,1446.5
132,NULL,NULL,0,0.00,2026-04-14,10,83,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
133,2025-12-16,129,2,9190.08,2026-03-21,34,43,1,"High Value At Risk",87.4,"Send Push Notification",9190.08,HIGH,2818.2
134,NULL,NULL,0,0.00,2026-04-02,22,58,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
135,NULL,NULL,0,0.00,2026-03-09,46,14,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
136,2026-04-01,23,1,4989.61,2026-04-03,21,42,1,"High Value At Risk",20,"Send Push Notification",4989.61,HIGH,1510.88
137,NULL,NULL,0,0.00,2026-02-25,58,65,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
138,NULL,NULL,0,0.00,2026-04-08,16,44,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
139,NULL,NULL,0,0.00,2026-04-02,22,56,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
140,NULL,NULL,0,0.00,2026-03-16,39,64,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
141,2025-11-20,155,1,3190.18,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3190.18,HIGH,NULL
142,2026-04-18,6,1,2432.64,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
143,2026-01-12,102,1,717.50,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
144,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
145,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
146,2025-11-22,153,1,2770.41,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
147,2025-11-06,169,1,4281.87,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4281.87,HIGH,NULL
148,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
149,2025-11-08,167,1,4581.03,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4581.03,HIGH,NULL
150,2026-01-31,83,1,2978.69,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
151,2026-04-18,6,1,2296.93,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
152,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
153,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
154,2026-03-19,36,2,4656.30,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4656.30,HIGH,NULL
155,2026-02-05,78,1,2171.39,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
156,2025-11-16,159,1,3342.05,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3342.05,HIGH,NULL
157,2026-04-13,11,1,2785.69,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
158,2026-03-18,37,2,3028.85,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3028.85,HIGH,NULL
159,2025-12-23,122,1,3109.13,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3109.13,HIGH,NULL
160,2026-04-16,8,2,6945.21,NULL,NULL,NULL,0,"High Value Active",NULL,"Send Push Notification",0.00,NORMAL,NULL
161,2026-02-21,62,1,4794.40,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4794.40,HIGH,NULL
162,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
163,2026-04-11,13,3,6872.13,NULL,NULL,NULL,0,"High Value Active",NULL,Monitor,0.00,NORMAL,NULL
164,2026-03-21,34,2,2640.58,NULL,NULL,NULL,1,"Churned Users",NULL,"Send Push Notification",2640.58,MEDIUM,NULL
165,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
166,2026-04-12,12,2,2916.40,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
167,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
168,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
169,2026-02-04,79,1,1870.39,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
170,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
171,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
172,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
173,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
174,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
175,2026-04-19,5,1,1517.77,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
176,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
177,2025-12-17,128,1,2660.77,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
178,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
179,2026-02-17,66,1,4023.62,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4023.62,HIGH,NULL
180,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
181,2026-01-20,94,2,8594.71,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",8594.71,HIGH,NULL
182,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
183,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
184,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
185,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
186,2026-02-20,63,2,5995.44,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",5995.44,HIGH,NULL
187,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
188,2026-02-10,73,1,656.11,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
189,2026-03-24,31,1,4824.13,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4824.13,HIGH,NULL
190,2025-12-04,141,1,4971.90,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4971.90,HIGH,NULL
191,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
192,2025-12-28,117,1,1602.74,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
193,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
194,2026-01-18,96,1,3610.82,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3610.82,HIGH,NULL
195,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
196,2026-04-23,1,1,4432.65,NULL,NULL,NULL,0,"High Value Active",NULL,"Send Push Notification",0.00,NORMAL,NULL
197,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
198,2025-11-06,169,1,3748.78,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3748.78,HIGH,NULL
199,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
200,2025-11-24,151,1,1082.32,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
201,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
202,2026-02-27,56,1,2880.45,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
203,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
204,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
205,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
206,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
207,2025-10-29,177,1,4563.68,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4563.68,HIGH,NULL
208,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
209,2026-02-20,63,2,8462.42,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",8462.42,HIGH,NULL
210,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
211,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
212,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
213,2026-01-31,83,1,1363.97,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
